注文日,顧客ID,施設名,商品ID,商品名,数量,単価,売上金額,注文番号
2025-10-08,10001,心斎橋美容クリニック,FLR-101,Neuramis Deep,10,8900,89000,BC70012
2025-10-08,10001,心斎橋美容クリニック,JSH-001,Jalupro Super Hydro,30,9800,294000,BC70001
2025-10-08,10001,心斎橋美容クリニック,THR-301,Mint Lift Thread,50,14500,725000,BC70021
2025-10-08,10002,梅田スキンクリニック,BTX-201,Botulax 100U,30,6900,207000,BC70037
2025-10-08,10002,梅田スキンクリニック,REJ-010,Rejuran Healer,10,12800,128000,BC70029
2025-10-08,10003,天神美容外科,FLR-101,Neuramis Deep,20,8900,178000,BC70054
2025-10-08,10003,天神美容外科,JSH-001,Jalupro Super Hydro,20,9800,196000,BC70046
2025-10-08,10003,天神美容外科,THR-301,Mint Lift Thread,50,14500,725000,BC70064
2025-10-08,10004,銀座クリニック,BTX-201,Botulax 100U,50,6900,345000,BC70081
2025-10-08,10004,銀座クリニック,REJ-010,Rejuran Healer,10,12800,128000,BC70072
2025-11-05,10004,銀座クリニック,REJ-010,Rejuran Healer,20,12800,256000,BC70073
2025-11-12,10001,心斎橋美容クリニック,FLR-101,Neuramis Deep,10,8900,89000,BC70013
2025-11-12,10001,心斎橋美容クリニック,JSH-001,Jalupro Super Hydro,50,9800,490000,BC70002
2025-11-12,10003,天神美容外科,FLR-101,Neuramis Deep,10,8900,89000,BC70055
2025-11-12,10003,天神美容外科,JSH-001,Jalupro Super Hydro,50,9800,490000,BC70047
2025-11-19,10001,心斎橋美容クリニック,THR-301,Mint Lift Thread,50,14500,725000,BC70022
2025-12-03,10002,梅田スキンクリニック,BTX-201,Botulax 100U,10,6900,69000,BC70038
2025-12-03,10002,梅田スキンクリニック,REJ-010,Rejuran Healer,20,12800,256000,BC70030
2025-12-03,10003,天神美容外科,THR-301,Mint Lift Thread,50,14500,725000,BC70065
2025-12-03,10004,銀座クリニック,BTX-201,Botulax 100U,30,6900,207000,BC70082
2025-12-03,10004,銀座クリニック,REJ-010,Rejuran Healer,30,12800,384000,BC70074
2025-12-10,10001,心斎橋美容クリニック,JSH-001,Jalupro Super Hydro,10,9800,98000,BC70003
